Drug	Chemblid	max_phase	formula	synonyms	canonical
LEVOFLOXACIN	CHEMBL33	4.0	C18H20FN3O4	DR-3355;;;Evoxil;;;Floxacin;;;Iquix;;;Levaquin;;;Levofloxacin;;;Levofloxacin;;;Levofloxacin;;;Levofloxacin;;;Levofloxacin;;;Levofloxacin;;;Levofloxacin;;;Levofloxacin;;;Levofloxacin;;;Levofloxacin;;;Levofloxacin hemihydrate;;;Levofloxacin hydrate;;;Ofloxacin s-(-)-form;;;Ofloxacin s-(-)-form hemihydrate;;;Oftaquix;;;Quinsair;;;Quixin;;;RWJ-25213;;;Tavanic	C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23
GEMIFLOXACIN	CHEMBL430	4.0	C18H20FN5O4	Gemifloxacin;;;Gemifloxacin;;;Gemifloxacin;;;Gemifloxacin;;;Gemifloxacin;;;Gemifloxacin	CO/N=C1\CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1CN
SPIRAPRIL	CHEMBL431	4.0	C22H30N2O5S2	Spirapril;;;Spirapril;;;Spirapril;;;Spirapril;;;Spirapril;;;Spirapril	CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)O)SCCS2
VALPROATE SODIUM	CHEMBL433	4.0	C8H15NaO2	A-44090;;;ABBOTT 44090;;;ABBOTT-44090;;;ABBOTT-44090;;;Delepsine;;;Depacon;;;Depakine;;;Depakote;;;Depakote CP;;;Depakote ER;;;Epilim;;;Epilim 200;;;Epilim 500;;;Epilim chrono 200;;;Epilim chrono 300;;;Epilim chrono 500;;;Epilim chronosphere;;;Epilim iv;;;Episenta;;;Kentilim;;;KW-6066N;;;Orfiril;;;Orlept;;;Sodium valproate;;;Sodium valproate;;;Valproate sodium;;;Valproate sodium;;;Valproate sodium;;;Valproate sodium;;;Valproate sodium;;;Valproic acid sodium salt (1:1)	CCCC(CCC)C(=O)[O-].[Na+]
ISOPROTERENOL	CHEMBL434	4.0	C11H17NO3	A-21;;;Isoprenaline;;;Isoprenaline;;;Isoprenaline;;;Isoprenaline;;;Isoproterenol;;;Isoproterenol;;;Isoproterenol;;;Isoproterenol dl-form;;;NSC-33791;;;NSC-9975	CC(C)NCC(O)c1ccc(O)c(O)c1
HYDROCHLOROTHIAZIDE	CHEMBL435	4.0	C7H8ClN3O4S2	Apo-hydro;;;Esidrex;;;Esidrix;;;Hctz;;;Hydrochlorothiazide;;;Hydrochlorothiazide;;;Hydrochlorothiazide;;;Hydrochlorothiazide;;;Hydrochlorothiazide;;;Hydrochlorothiazide;;;Hydrochlorothiazide;;;Hydrochlorothiazide;;;Hydrochlorothiazide;;;Hydrochlorothiazide;;;Hydrochlorothiazide;;;Hydrochlorothiazide intensol;;;Hydro-d;;;Hydrodiuril;;;Hydrosaluric;;;Microzide;;;NSC-53477;;;Oretic;;;SU-5879;;;Zide	NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O
FUROSEMIDE	CHEMBL35	4.0	C12H11ClN2O5S	Aluzine 20;;;Aluzine 40;;;Aluzine 500;;;Aquamed;;;Disal;;;Diuresal;;;Dryptal;;;Froop;;;Frumax;;;Frumil;;;Frusemide;;;Frusemide;;;Frusetic;;;Frusid;;;Frusol;;;Furosemide;;;Furosemide;;;Furosemide;;;Furosemide;;;Furosemide;;;Furosemide;;;Furosemide;;;Furosemide;;;Furosemide;;;Furosemide;;;Furosemide;;;Hydroled;;;Lasix;;;Lasix ret;;;LB-502;;;NSC-269420;;;Rusyde;;;Tenkofruse	NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl
PYRIMETHAMINE	CHEMBL36	4.0	C12H13ClN4	Chloridin;;;Daraprim;;;GNF-PF-5586;;;Malacide;;;NSC-3061;;;Pyrimethamine;;;Pyrimethamine;;;Pyrimethamine;;;Pyrimethamine;;;Pyrimethamine;;;Pyrimethamine;;;Pyrimethamine;;;Pyrimethamine;;;Pyrimethamine;;;Pyrimethamine;;;RP-4753;;;TCMDC-123831;;;TCMDC-123831;;;TCMDC-125860;;;TCMDC-125860;;;WR-2978	CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1
TOLRESTAT	CHEMBL436	4.0	C16H14F3NO3S	Alderase;;;Alredase;;;AY-27773;;;AY-27,773;;;Tolrestat;;;Tolrestat;;;Tolrestat;;;Tolrestat;;;Tolrestat	COc1ccc2c(C(=S)N(C)CC(=O)O)cccc2c1C(F)(F)F
SULFATHIAZOLE	CHEMBL437	4.0	C9H9N3O2S2	Sulfathiazole;;;Sulfathiazole;;;Sulfathiazole;;;Sulfathiazole;;;Sulfathiazole;;;Sulfathiazole;;;Sulfathiazole;;;Sulfathiazole (triple sulfa);;;Sulphathiazole;;;Thiazamide	Nc1ccc(S(=O)(=O)Nc2nccs2)cc1
SULFAMERAZINE	CHEMBL438	4.0	C11H12N4O2S	Mesulfa;;;Methypyrimal;;;Sulfamerazine;;;Sulfamerazine;;;Sulfamerazine;;;Sulfamerazine;;;Sulfamerazine;;;Sulfamerazine;;;Sulfamerazine (trisulfapyrimidines);;;Sulfamethyldiazine;;;Sumedin	Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1
SULFADIAZINE	CHEMBL439	4.0	C10H10N4O2S	Adiazine;;;Coco-diazine;;;Diazyl;;;NSC-35600;;;Sildaflo;;;Silvadene;;;SSD;;;Sulfacombin;;;Sulfadiazine;;;Sulfadiazine;;;Sulfadiazine;;;Sulfadiazine;;;Sulfadiazine;;;Sulfadiazine;;;Sulfadiazine;;;Sulfadiazine;;;Sulfadiazine;;;Sulfadiazine;;;Sulfadiazine;;;Sulfadiazine (trisulfapyrimidines);;;Sulfapyrimidine;;;Sulfolex;;;Sulphadiazine;;;Sulphadiazine;;;Thermazene	Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1
THIAMYLAL	CHEMBL440	4.0	C12H18N2O2S	Thiamylal;;;Thiamylal	C=CCC1(C(C)CCC)C(=O)N=C(S)NC1=O
THIOPENTAL	CHEMBL441	4.0	C11H18N2O2S	Thiopental;;;Thiopental;;;Thiopental;;;Thiopental;;;Thiopental ciii	CCCC(C)C1(CC)C(=O)NC(=S)NC1=O
CYCLOBARBITAL	CHEMBL268164	4.0	C12H16N2O3	Cyclobarbital;;;Cyclobarbital;;;Cyclobarbital;;;Cyclobarbital;;;Cyclobarbital;;;Hexemal;;;Phanodorn	CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O
ERGOTAMINE	CHEMBL442	4.0	C33H35N5O5	Ergotamine;;;Ergotamine;;;Ergotamine;;;Ergotamine;;;Ergotamine;;;Ergotamine;;;Ergotamine Tartrate;;;NSC-95090	CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21
TRETINOIN	CHEMBL38	4.0	C20H28O2	Acticin;;;Altreno;;;Atralin;;;Avita;;;NSC-122758;;;Renova;;;Retin-a;;;Retin-a micro;;;Retin-a-micro;;;Retinoic acid;;;Tretinoin;;;Tretinoin;;;Tretinoin;;;Tretinoin;;;Tretinoin;;;Tretinoin;;;Tretinoin;;;Tretinoin;;;Tretinoin;;;Tretinoin;;;Tretin-X;;;Vesanoid	CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1
METHOHEXITAL	CHEMBL7413	4.0	C14H18N2O3	Methohexital;;;Methohexital;;;Methohexital;;;Methohexital;;;Methohexital;;;Methohexital;;;Methohexital civ;;;Methohexitone	C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O
PHENOBARBITAL	CHEMBL40	4.0	C12H12N2O3	Eskabarb;;;Luminal;;;Noptil;;;NSC-128143;;;NSC-128143-;;;NSC-9848;;;Phenemal;;;Phenobarbital;;;Phenobarbital;;;Phenobarbital;;;Phenobarbital;;;Phenobarbital;;;Phenobarbital;;;Phenobarbital;;;Phenobarbital;;;Phenobarbital;;;Phenobarbital;;;Phenobarbital civ;;;Phenobarbitone;;;Phenylethylmalonylurea;;;Solfoton;;;Talpheno	CCC1(c2ccccc2)C(=O)NC(=O)NC1=O
FLUOXETINE	CHEMBL41	4.0	C17H18F3NO	Fluoxetine;;;Fluoxetine;;;Fluoxetine;;;Fluoxetine;;;Fluoxetine;;;Fluoxetine;;;Fluoxetine;;;NSC-283480;;;Prozac;;;Sarafem;;;Symbyax	CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1
SULFAMETHOXAZOLE	CHEMBL443	4.0	C10H11N3O3S	Acetylsulfamethoxazole;;;Acetylsulfamethoxazole;;;Gantanol;;;Gantanol-ds;;;NSC-147832;;;RO 4-2130;;;RO-4-2130;;;Sinomin;;;STX-608;;;Sulfamethoxazole;;;Sulfamethoxazole;;;Sulfamethoxazole;;;Sulfamethoxazole;;;Sulfamethoxazole;;;Sulfamethoxazole;;;Sulfamethoxazole;;;Sulfamethoxazole;;;Sulfamethoxazole;;;Sulfamethoxazole;;;Sulfamethoxazole sodium;;;Sulphamethoxazole;;;Suphamethoxazole;;;Urobak	Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1
BARBITAL	CHEMBL444	4.0	C8H12N2O3	Barbital;;;Barbital;;;Barbital;;;Barbital;;;Barbital;;;Barbital;;;Barbitone;;;Diemal;;;Diethylbarbituric acid	CCC1(CC)C(=O)NC(=O)NC1=O
CLOZAPINE	CHEMBL42	4.0	C18H19ClN4	Clozapine;;;Clozapine;;;Clozapine;;;Clozapine;;;Clozapine;;;Clozapine;;;Clozapine;;;Clozapine;;;Clozapine;;;Clozapine;;;Clozapine;;;Clozapine resolution mixture;;;Clozaril;;;Fazaclo;;;Fazaclo odt;;;HF 1854;;;HF-1854;;;Versacloz;;;Zaponex	CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1
NORTRIPTYLINE	CHEMBL445	4.0	C19H21N	Allegron;;;Aventyl;;;Motipress;;;Motival;;;NCI-169453;;;Nortriptyline;;;Nortriptyline;;;Nortriptyline;;;Nortriptyline;;;Nortriptyline;;;Nortriptyline;;;Nortriptyline;;;Pamelor	CNCCC=C1c2ccccc2CCc2ccccc21
SULFAMETHAZINE	CHEMBL446	4.0	C12H14N4O2S	Smz-Med 454;;;Sulfadimidine;;;Sulfadimidine;;;Sulfadimidine;;;Sulfadimidine;;;Sulfamethazine;;;Sulfamethazine;;;Sulfamethazine;;;Sulfamethazine;;;Sulfamethazine (trisulfapyrimidines);;;Sulfamezathine ('s-mez')	Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1
SECOBARBITAL	CHEMBL447	4.0	C12H18N2O3	Meballymal;;;Secobarbital;;;Secobarbital;;;Secobarbital;;;Secobarbital;;;Secobarbital;;;Seconal	C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O
PENTOBARBITAL	CHEMBL448	4.0	C11H18N2O3	Mebubarbital;;;Mebumal;;;Nembutal;;;NSC-28708;;;Pentobarbital;;;Pentobarbital;;;Pentobarbital;;;Pentobarbital;;;Pentobarbital;;;Pentobarbital;;;Pentobarbital;;;Pentobarbital;;;Pentobarbital calcium;;;Pentobarbital cii	CCCC(C)C1(CC)C(=O)NC(=O)NC1=O
AMOBARBITAL	CHEMBL267894	4.0	C11H18N2O3	Amobarbital;;;Amobarbital;;;Amobarbital;;;Amobarbital;;;Amobarbital;;;Amobarbital;;;Amobarbital;;;Amobarbital;;;Amobarbital cii;;;Amylobarbitone;;;Amytal;;;NSC-10815;;;Pentymal	CCC1(CCC(C)C)C(=O)N=C(O)NC1=O
BUTABARBITAL	CHEMBL449	4.0	C10H16N2O3	Butabarbital;;;Butabarbital;;;Butabarbital;;;Butabarbital;;;Secbutabarbital;;;Secbutabarbital;;;Secbutobarbitone	CCC(C)C1(CC)C(=O)NC(=O)NC1=O
METHARBITAL	CHEMBL450	4.0	C9H14N2O3	Endiemal;;;Gemonil;;;Metharbital;;;Metharbital;;;Metharbital;;;Metharbital;;;Metharbital;;;Metharbital;;;Metharbital	CCC1(CC)C(=O)NC(=O)N(C)C1=O
CHLORDIAZEPOXIDE	CHEMBL451	4.0	C16H14ClN3O	A-Poxide;;;Chlordiazachel;;;Chlordiazepoxide;;;Chlordiazepoxide;;;Chlordiazepoxide;;;Chlordiazepoxide;;;Chlordiazepoxide;;;Chlordiazepoxide;;;Chlordiazepoxide;;;Chlordiazepoxide;;;Chlordiazepoxide;;;Chlordiazepoxide;;;Chlordiazepoxide civ;;;Clopoxide;;;Clopoxide;;;Librelease;;;Libritabs;;;Librium;;;Librium;;;Lygen;;;Sarlib;;;Trakipeal;;;Zeisin	CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1
CLONAZEPAM	CHEMBL452	4.0	C15H10ClN3O3	Clonazepam;;;Clonazepam;;;Clonazepam;;;Clonazepam;;;Clonazepam;;;Clonazepam;;;Clonazepam;;;Clonazepam;;;Clonazepam;;;Clonazepam;;;Clonazepam;;;Clonazepam civ;;;Klonopin;;;Klonopin rapidly disintegrating;;;NSC-179913;;;Rivotril;;;RO 5-4023;;;RO-54023;;;RO-5-4023	O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1
SULFISOXAZOLE	CHEMBL453	4.0	C11H13N3O3S	Entusil;;;Eryzole;;;Gantrisin;;;Neazolin;;;NSC-13120;;;NSC-683536;;;Pediazole;;;Sosol;;;Soxazole;;;Sulfafurazole;;;Sulfafurazole;;;Sulfafurazole;;;Sulfafurazole;;;Sulfafurazole;;;Sulfalar;;;Sulfisoxazole;;;Sulfisoxazole;;;Sulfisoxazole;;;Sulfisoxazole;;;Sulfisoxazole;;;Sulfisoxazole;;;Sulfisoxazole;;;Sulphafurazole;;;Sulphafurazole;;;Sulphafurazole;;;Sulsoxin	Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C
SULFAMETHOXYPYRIDAZINE	CHEMBL268869	4.0	C11H12N4O3S	Lederkyn;;;Midicel;;;Succinylsulfathi;;;Sulfamethoxypyridazine;;;Sulfamethoxypyridazine;;;Sulfamethoxypyridazine;;;Sulfamethoxypyridazine;;;Sulfamethoxypyridazine;;;Sulfamethoxypyridazine;;;Sulfasuxidine;;;Sulphamethoxypyridazine	COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1
BUTALBITAL	CHEMBL454	4.0	C11H16N2O3	Alisobumal;;;Allylbarbituric acid;;;Butalbital;;;Butalbital;;;Butalbital;;;Butalbital;;;Butalbital;;;Butalbital;;;Butalbital ciii;;;Itobarbital;;;Sandoptal;;;Tetrallobarbital	C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O
SULFACETAMIDE	CHEMBL455	4.0	C8H10N2O3S	Bleph-10;;;Bleph-30;;;Cetamide;;;FML-S;;;Klaron;;;Klaron;;;NSC-63871;;;Ocusulf-10;;;Ocusulf-30;;;SULF-10;;;SULF-15;;;Sulfacel-15;;;Sulfacetamide;;;Sulfacetamide;;;Sulfacetamide;;;Sulfacetamide;;;Sulfacetamide;;;Sulfacetamide;;;Sulfacetamide;;;Sulfacetamide;;;Sulfacetamide (triple sulfa);;;Sulfair-15;;;Sulphacetamide;;;Sulster;;;Sulten-10	CC(=O)NS(=O)(=O)c1ccc(N)cc1
AMSACRINE	CHEMBL43	4.0	C21H19N3O3S	Amsacrine;;;Amsacrine;;;Amsacrine;;;Amsacrine;;;Amsacrine;;;Amsacrine;;;Amsacrine;;;Amsidyl;;;CI-880;;;M-AMSA;;;NCI-249992;;;NSC-156303;;;NSC-249992;;;SN-11841;;;SN-21429	COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12
ETHACRYNIC ACID	CHEMBL456	4.0	C13H12Cl2O4	Edecrin;;;Etacrynic acid;;;Etacrynic acid;;;Etacrynic acid;;;Etacrynic acid;;;Etacrynic acid;;;Etacrynic acid;;;Ethacrynic acid;;;Ethacrynic acid;;;Ethacrynic acid;;;Ethacrynic acid;;;Ethacrynic acid;;;Ethacrynic acid;;;Ethacrynic acid;;;Hydromedin;;;MK-595;;;NSC-624008;;;NSC-85791;;;Reomax	C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl
TICRYNAFEN	CHEMBL267744	4.0	C13H8Cl2O4S	Selacryn;;;SK&F 62698;;;Ticrynafen;;;Ticrynafen;;;Tienilic acid;;;Tienilic acid;;;Tienilic acid;;;Tienilic acid	O=C(O)COc1ccc(C(=O)c2cccs2)c(Cl)c1Cl
GEMFIBROZIL	CHEMBL457	4.0	C15H22O3	CI-719;;;Emfib;;;Gemfibrozil;;;Gemfibrozil;;;Gemfibrozil;;;Gemfibrozil;;;Gemfibrozil;;;Gemfibrozil;;;Gemfibrozil;;;Gemfibrozil;;;Gemfibrozil;;;Gemfibrozil;;;Gemfibrozil;;;Lopid	Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1
MELATONIN	CHEMBL45	4.0	C13H16N2O2	BCI-049;;;Circadin;;;General nutrit;;;Health aid;;;Heidadouppi;;;Icenia;;;J5.258B;;;Life ext;;;Melapure;;;Melatonin;;;Melatonin;;;Melatonin;;;Melatonin;;;Melatonin;;;Melatonin;;;N-(2-(5-Methoxy-1H-Indol-3-Yl)Ethyl)Acetamide;;;N-Acetyl-5-Methoxytryptamine;;;Natrol;;;Nature's blend;;;Natures bounty;;;NSC-113928;;;NSC-56423;;;Quality health;;;S.gard;;;Travelag;;;Vespro;;;Vytalonin	COc1ccc2[nH]cc(CCNC(C)=O)c2c1
LYSINE	CHEMBL8085	4.0	C6H14N2O2	Lysine;;;Lysine;;;Lysine;;;Lysine;;;Lysine	NCCCC[C@H](N)C(=O)O
ONDANSETRON	CHEMBL46	4.0	C18H19N3O	A04AA01;;;Desmethylondansetron;;;EUR-1025;;;GR-38032;;;GR-38032F;;;Ondansetron;;;Ondansetron;;;Ondansetron;;;Ondansetron;;;Ondansetron;;;Ondansetron;;;Ondansetron;;;Ondansetron;;;Ondansetron;;;Ondansetron;;;Zofran;;;Zofran;;;Zofran odt;;;Zuplenz	Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O
BUSPIRONE	CHEMBL49	4.0	C21H31N5O2	BCI-024;;;Buspar;;;Buspirone;;;Buspirone;;;Buspirone;;;Buspirone;;;Buspirone;;;Buspirone	O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1
KETANSERIN	CHEMBL51	4.0	C22H22FN3O3	Ketanserin;;;Ketanserin;;;Ketanserin;;;Ketanserin;;;Ketanserin;;;Ketanserin;;;Ketanserin;;;R-41468;;;R-41,468;;;Sufrexal	O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1
METHYLDOPA	CHEMBL459	4.0	C10H13NO4	Aldomet;;;Alpha-methyldopa;;;BAYER-1440L;;;Dopamet;;;J9.247I;;;Lederdopa;;;Medomet;;;Metalpha 250;;;Metalpha 500;;;Methyldopa;;;Methyldopa;;;Methyldopa;;;Methyldopa;;;Methyldopa;;;Methyldopa;;;Methyldopa;;;Methyldopa;;;Methyldopa;;;Methyldopa;;;Methyldopa hydrate;;;Methyldopa (levorotatory);;;Methyldopa sesquihydrate;;;Methyldopa sesquihydrate;;;MK-351;;;NSC-169916	C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O
MOLINDONE	CHEMBL460	4.0	C16H24N2O2	Moban;;;Molindone;;;Molindone;;;Molindone;;;Molindone;;;Molindone;;;Molindone	CCc1c(C)[nH]c2c1C(=O)C(CN1CCOCC1)CC2
APOMORPHINE	CHEMBL53	4.0	C17H17NO2	APL-130277;;;Apomorphine;;;Apomorphine;;;Apomorphine;;;Apomorphine;;;Apomorphine;;;VR040;;;VR-040	CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3
HALOPERIDOL	CHEMBL54	4.0	C21H23ClFNO2	Dolpin;;;Dozic;;;Fortunan;;;Haldol;;;Haldol solutab;;;Haloperidol;;;Haloperidol;;;Haloperidol;;;Haloperidol;;;Haloperidol;;;Haloperidol;;;Haloperidol;;;Haloperidol;;;Haloperidol;;;Haloperidol;;;Haloperidol;;;Haloperidol decanoate impurity, haloperidol-;;;Kentace;;;Keselen;;;MCN-JR-1625;;;NSC-170973;;;NSC-615296;;;R-1625;;;Serenace	O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
PENTAMIDINE	CHEMBL55	4.0	C19H24N4O2	GNF-Pf-3680;;;MB-800;;;MB 800 [AS ISETHIONATE];;;MB-800 (AS ISETHIONATE);;;MB 800 FREE BASE;;;MB-800 FREE BASE;;;Nebupent [as isethionate];;;NSC-9921;;;Pentacarinat;;;Pentacarinat [as isethionate];;;Pentam 300 [as isethionate];;;Pentamidine;;;Pentamidine;;;Pentamidine;;;Pentamidine;;;Pentamidine;;;Pentamidine;;;Pentamidine;;;Pentamidine isetionate;;;RP-2512;;;RP 2512 [AS ISETHIONATE);;;RP 2512 FREE BASE;;;RP-2512 FREE BASE	N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1
AMINOHIPPURIC ACID	CHEMBL463	4.0	C9H10N2O3	Aminohippuric acid;;;Aminohippuric Acid;;;Aminohippuric acid;;;Aminohippuric acid;;;Aminohippuric acid;;;NSC-13064;;;Paha;;;P-aminohippuric acid;;;Para-aminohippuric acid	Nc1ccc(C(=O)NCC(=O)O)cc1
ETRETINATE	CHEMBL464	4.0	C23H30O3	Etretinate;;;Etretinate;;;Etretinate;;;Etretinate;;;Etretinate;;;Etretinate;;;Etretinate;;;Ro-109359;;;RO 10-9359;;;Tegison;;;Tigason	CCOC(=O)/C=C(C)/C=C/C=C(C)/C=C/c1c(C)cc(OC)c(C)c1C
NEVIRAPINE	CHEMBL57	4.0	C15H14N4O	BIRG 0587;;;BIRG-0587;;;Nevirapine;;;Nevirapine;;;Nevirapine;;;Nevirapine;;;Nevirapine;;;Nevirapine;;;Nevirapine;;;Nevirapine;;;Nevirapine;;;Nevirapine;;;Nevirapine;;;Nevirapine anhydrous;;;NSC-641530;;;Viramune;;;Viramune;;;Viramune xr	Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1
DRONABINOL	CHEMBL465	4.0	C21H30O2	ABBOTT 40566;;;ABBOTT-40566;;;Delta-9-tetrahydrocannabinol;;;Delta-9-thc;;;Dronabinol;;;Dronabinol;;;Dronabinol;;;Dronabinol;;;Dronabinol;;;Dronabinol;;;Dronabinol;;;J882F;;;Marinol;;;NSC-134454;;;QCD 84924;;;QCD-84924;;;SP 104;;;SP-104;;;Syndros;;;Tetrahydrocannabinols (-)-trans-.delta.9-form	CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21
MITOXANTRONE	CHEMBL58	4.0	C22H28N4O6	Mitoxantrone;;;Mitoxantrone;;;Mitoxantrone;;;Mitoxantrone;;;Mitoxantrone;;;Mitoxantrone HCl;;;Novantrone;;;Novantrone;;;NSC-279836	O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21
DOPAMINE	CHEMBL59	4.0	C8H11NO2	Carbilev;;;Dopamine;;;Dopamine;;;Dopamine;;;Dopamine;;;Dopamine;;;Dopamine;;;Intropin;;;NSC-173182;;;Parcopa;;;Sinemet	NCCc1ccc(O)c(O)c1
HYDROXYUREA	CHEMBL467	4.0	CH4N2O2	Droxia;;;Hydrea;;;Hydroxycarbamide;;;Hydroxycarbamide;;;Hydroxycarbamide;;;Hydroxycarbamide;;;Hydroxycarbamide;;;Hydroxyurea;;;Hydroxyurea;;;Hydroxyurea;;;Hydroxyurea;;;Hydroxyurea;;;Hydroxyurea;;;Hydroxyurea;;;NSC-32065;;;Siklos;;;SQ 1089;;;SQ-1089	NC(=O)NO
PODOFILOX	CHEMBL61	4.0	C22H22O8	Condyline;;;Condylox;;;NSC-24818;;;Podofilox;;;Podofilox;;;Podofilox;;;Podofilox;;;Podophyllotoxin;;;Podophyllotoxin;;;Podophyllotoxin;;;Podophyllotoxin;;;Podophyllotoxin;;;Podophyllotoxin;;;Warticon	COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC
ISONIAZID	CHEMBL64	4.0	C6H7N3O	Dow-isoniazid;;;Hyzyd;;;Isoniazid;;;Isoniazid;;;Isoniazid;;;Isoniazid;;;Isoniazid;;;Isoniazid;;;Isoniazid;;;Isoniazid;;;Isoniazid;;;Isoniazid;;;Isoniazid;;;Isonicotinylhydrazine;;;Laniazid;;;Nicotibine;;;NSC-9659;;;Nydrazid;;;Rimifon;;;Stanozide	NNC(=O)c1ccncc1
THALIDOMIDE	CHEMBL468	4.0	C13H10N2O4	K-17;;;NSC-527179;;;NSC-66847;;;Talidex;;;Thalidomide;;;Thalidomide;;;Thalidomide;;;Thalidomide;;;Thalidomide;;;Thalidomide;;;Thalidomide;;;Thalidomide;;;Thalidomide;;;Thalidomide ;;;Thalomid	O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1
KETOROLAC	CHEMBL469	4.0	C15H13NO3	Ketorolac;;;Ketorolac;;;Ketorolac;;;Ketorolac;;;Ketorolac;;;Ketorolac	O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O
SOTALOL	CHEMBL471	4.0	C12H20N2O3S	Betapace;;;C07AA07;;;MJ-1999;;;Sorine;;;Sotalol;;;Sotalol;;;Sotalol;;;Sotalol;;;Sotalol;;;Sotalol	CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1
GLYBURIDE	CHEMBL472	4.0	C23H28ClN3O5S	Calabren;;;Daonil;;;Diabeta;;;Diabetamide 2.5;;;Diabetamide 5;;;Euglucon;;;Glibenclamide;;;Glibenclamide;;;Glibenclamide;;;Glibenclamide;;;Glibenclamide;;;Glibenclamide;;;Glibenclamide;;;Gliken;;;Glyburide;;;Glyburide;;;Glyburide;;;Glyburide;;;Glyburide;;;Glyburide;;;Glyburide (micronized);;;Glynase;;;Glynase Prestab;;;HB 419;;;HB-419;;;Lederglib;;;Libanil;;;Malix;;;Micronase;;;Semi-daonil;;;U-26,45;;;U-26452;;;U-26,452	COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1
DOFETILIDE	CHEMBL473	4.0	C19H27N3O5S2	Dofetilide;;;Dofetilide;;;Dofetilide;;;Dofetilide;;;Dofetilide;;;Dofetilide;;;Dofetilide;;;Dofetilide;;;Dofetilide;;;Dofetilide;;;Tikosyn;;;UK-68798;;;UK-68,798	CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1
DACARBAZINE	CHEMBL476	4.0	C6H10N6O	Dacarbazine;;;Dacarbazine;;;Dacarbazine;;;Dacarbazine;;;Dacarbazine;;;Dacarbazine;;;Dacarbazine;;;Dacarbazine;;;Dacarbazine;;;Dacarbazine;;;Dacarbazine;;;DIC;;;DIC;;;DTIC;;;DTIC;;;Dtic-dome;;;NCI C04717;;;NSC-45388	CN(C)/N=N/c1[nH]cnc1C(N)=O
ADENOSINE	CHEMBL477	4.0	C10H13N5O4	Adenocard;;;Adenocor;;;Adenoscan;;;Adenosine;;;Adenosine;;;Adenosine;;;Adenosine;;;Adenosine;;;Adenosine;;;Adenosine;;;Adenosine;;;Adenosine;;;Adenosine;;;Adenosine;;;NSC-7652;;;SR 96225;;;SR-96225	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
